symbol	role	covd_bps	genome	N	N_trunc	N_missense	tmb	tmb_trunc	tmb_missense
MT-ND6	Complex I	1711828	Mitochondrial	116	16	73	67.7638173928689	9.34673343349916	42.6444712903399
MT-RNR1	rRNA	3069834	Mitochondrial	241	NA	NA	78.505873607498	NA	NA
MT-RNR2	rRNA	5037094	Mitochondrial	416	NA	NA	82.5873013289011	NA	NA
MT-TA	tRNA	221719	Mitochondrial	12	NA	NA	54.1225605383391	NA	NA
MT-TC	tRNA	212896	Mitochondrial	21	NA	NA	98.6397114083872	NA	NA
MT-TD	tRNA	215361	Mitochondrial	6	NA	NA	27.8601975288005	NA	NA
MT-TE	tRNA	225174	Mitochondrial	3	NA	NA	13.3230301899864	NA	NA
MT-TF	tRNA	231698	Mitochondrial	17	NA	NA	73.3713713540902	NA	NA
MT-TG	tRNA	217343	Mitochondrial	9	NA	NA	41.4092011244899	NA	NA
MT-TH	tRNA	222447	Mitochondrial	14	NA	NA	62.936339892199	NA	NA
MT-TI	tRNA	217838	Mitochondrial	12	NA	NA	55.0868076276866	NA	NA
MT-TK	tRNA	216207	Mitochondrial	6	NA	NA	27.7511828941709	NA	NA
MT-TL1	tRNA	243161	Mitochondrial	25	NA	NA	102.812539839859	NA	NA
MT-TL2	tRNA	228088	Mitochondrial	13	NA	NA	56.9955455788994	NA	NA
MT-TM	tRNA	215969	Mitochondrial	10	NA	NA	46.3029416258815	NA	NA
MT-TN	tRNA	221121	Mitochondrial	4	NA	NA	18.0896432270115	NA	NA
MT-TP	tRNA	217703	Mitochondrial	21	NA	NA	96.4616932242551	NA	NA
MT-TQ	tRNA	215760	Mitochondrial	7	NA	NA	32.4434556915091	NA	NA
MT-TR	tRNA	206088	Mitochondrial	11	NA	NA	53.3752571716936	NA	NA
MT-TS1	tRNA	210984	Mitochondrial	6	NA	NA	28.4381754066659	NA	NA
MT-TS2	tRNA	189631	Mitochondrial	4	NA	NA	21.0935975657988	NA	NA
MT-TT	tRNA	211924	Mitochondrial	17	NA	NA	80.2174364394783	NA	NA
MT-TV	tRNA	222118	Mitochondrial	28	NA	NA	126.05912172809	NA	NA
MT-TW	tRNA	221248	Mitochondrial	9	NA	NA	40.6783338154469	NA	NA
MT-TY	tRNA	211564	Mitochondrial	9	NA	NA	42.5403187687886	NA	NA
MTOR	Oncogene	24969600	Nuclear	207	14	156	8.29008073817762	0.560681789055491	6.2475970780469
MUTYH	TSG	5248512	Nuclear	47	3	29	8.95491903228953	0.571590576529119	5.52537557311482
MYC	Oncogene	4455360	Nuclear	39	1	30	8.75350140056022	0.224448753860519	6.73346261581556
MYCL	n/a	3867840	Nuclear	20	2	17	5.17084470919169	0.517084470919169	4.39521800281294
MYCN	Oncogene	4553280	Nuclear	44	2	30	9.66336355330663	0.439243797877574	6.58865696816361
MYD88	Oncogene	3035520	Nuclear	24	0	16	7.90638836179633	0	5.27092557453089
MYOD1	n/a	3143232	Nuclear	41	1	23	13.0438987640747	0.318143872294504	7.3173090627736
NBN	TSG	7392960	Nuclear	66	16	44	8.92741202441241	2.16422109682725	5.95160801627494
NCOA3	Oncogene	13953600	Nuclear	101	15	71	7.23827542712992	1.0749914000688	5.08829262699232
NCOR1	TSG	23902272	Nuclear	230	50	137	9.62251621937864	2.09185135203884	5.73167270458641
NEGR1	n/a	3476160	Nuclear	46	2	30	13.2329927276075	0.575347509895977	8.63021264843966
NF1	TSG	27809280	Nuclear	303	116	145	10.8956434686551	4.17126944674583	5.21408680843229
NF2	TSG	5836032	Nuclear	79	40	29	13.5365947273764	6.85397201386147	4.96912971004957
NFE2L2	Oncogene	5933952	Nuclear	89	5	76	14.9984361181216	0.84260877068099	12.807653314351
NFKBIA	TSG	3113856	Nuclear	23	1	17	7.38634028034694	0.321145229580302	5.45946890286513
NKX2-1	n/a	3936384	Nuclear	22	0	15	5.58888563717361	0	3.81060384352746
NKX3-1	TSG	2301120	Nuclear	20	1	13	8.69141983034348	0.434570991517174	5.64942288972327
NOTCH1	n/a	25028352	Nuclear	188	30	95	7.51148137919748	1.19864064561662	3.79569537778596
NOTCH2	n/a	24205824	Nuclear	171	30	105	7.06441557205406	1.23937115299194	4.33779903547179
NOTCH3	n/a	22737024	Nuclear	163	13	112	7.16892413008844	0.571754685221778	4.92588651883378
NOTCH4	n/a	19623168	Nuclear	171	17	110	8.71418926852178	0.866322909736083	5.60561882770407
NPM1	TSG	2888640	Nuclear	21	4	11	7.26985709538052	1.38473468483439	3.80802038329456
NRAS	Oncogene	1860480	Nuclear	83	8	73	44.6121431028552	4.2999656002752	39.2371861025112
NSD1	n/a	26409024	Nuclear	231	47	131	8.74701011290686	1.77969469829707	4.96042564844502
NTHL1	TSG	3064896	Nuclear	17	2	11	5.54668086616968	0.65255069013761	3.58902879575685
NTRK1	Oncogene	7804224	Nuclear	80	4	55	10.250859021986	0.512542951099302	7.0474655776154
NTRK2	Oncogene	8215488	Nuclear	112	7	67	13.6327872428272	0.8520492026767	8.1553280827627
NTRK3	Oncogene	8225280	Nuclear	134	15	85	16.2912387177093	1.82364612511671	10.3339947089947
NUF2	Oncogene	4553280	Nuclear	54	8	36	11.8595825426945	1.7569751915103	7.90638836179633
NUP93	n/a	8029440	Nuclear	75	13	42	9.34062649450024	1.61904192571337	5.23075083692013
PAK1	Oncogene	5346432	Nuclear	40	9	23	7.48162512868395	1.68336565395389	4.30193444899327
PAK5	Oncogene	7050240	Nuclear	110	10	73	15.6023057371097	1.41839143064633	10.3542574437182
PALB2	TSG	11623104	Nuclear	81	8	46	6.96887853709302	0.688284299959804	3.95763472476887
PARK2	TSG	4563072	Nuclear	56	7	36	12.2724340093691	1.53405425117114	7.88942186316587
PARP1	TSG	9938880	Nuclear	80	8	43	8.04919669017032	0.804919669017032	4.32644322096655
PAX5	TSG	3838464	Nuclear	55	8	36	14.328648125917	2.08416700013339	9.37875150060024
PBRM1	TSG	15500736	Nuclear	209	115	77	13.4832307317536	7.41900255574961	4.96750605906713
PDCD1	Oncogene	2829888	Nuclear	27	6	18	9.54101363728883	2.12022525273085	6.36067575819255
PDCD1LG2	Oncogene	2683008	Nuclear	16	1	10	5.9634559419875	0.372715996374219	3.72715996374219
PDGFRA	Oncogene	10673280	Nuclear	182	12	133	17.051927804761	1.12430293218205	12.4610241650177
PDGFRB	Oncogene	10839744	Nuclear	100	9	60	9.22531011802493	0.830277910622243	5.53518607081496
PDPK1	n/a	5454144	Nuclear	16	1	12	2.93354924255759	0.183346827659849	2.20016193191819
PGR	Oncogene	9145728	Nuclear	62	12	42	6.77912135589425	1.31208800436663	4.5923080152832
PHOX2B	TSG	3084480	Nuclear	46	2	26	14.91337275651	0.648407511152609	8.42929764498392
PIK3C2G	n/a	14159232	Nuclear	138	22	86	9.74629132427521	1.55375658792793	6.07377575280919
PIK3C3	n/a	8695296	Nuclear	76	10	57	8.74035800506389	1.15004710592946	6.55526850379792
PIK3CA	Oncogene	10467648	Nuclear	763	8	738	72.8912550364705	0.764259554772954	70.502943927805
PIK3CB	Oncogene	10487232	Nuclear	109	12	72	10.3935909875933	1.14424854909284	6.86549129455704
PIK3CD	Oncogene	10232640	Nuclear	82	7	53	8.01357225505832	0.684085436407418	5.17950401851331
PIK3CG	Oncogene	10800576	Nuclear	196	13	126	18.1471802985322	1.20363950959653	11.6660444776279
PIK3R1	TSG	7099200	Nuclear	190	76	101	26.7635789948163	10.7054315979265	14.226955149876
PIK3R2	TSG	7138368	Nuclear	49	7	31	6.86431408411558	0.980616297730798	4.3427293185221
PIK3R3	TSG	4523904	Nuclear	44	15	20	9.72611266728914	3.31572022748493	4.42096030331324
PIM1	n/a	3074688	Nuclear	77	5	54	25.0431913742142	1.62618125806586	17.5627575871113
PLCG2	Oncogene	12396672	Nuclear	147	14	105	11.8580212495741	1.12933535710229	8.4700151782672
PLK2	n/a	6717312	Nuclear	76	14	43	11.3140494292955	2.08416700013339	6.40137007183826
PMAIP1	TSG	538560	Nuclear	1	0	0	1.85680332739156	0	0
PMS1	TSG	9135936	Nuclear	68	13	45	7.44313445278075	1.42295217479632	4.92560368198726
PMS2	TSG	8450496	Nuclear	89	14	48	10.5319261733276	1.65670748793917	5.68013995864858
PNRC1	n/a	3211776	Nuclear	20	4	12	6.22708432966683	1.24541686593337	3.7362505978001
POLD1	TSG	10849536	Nuclear	103	14	66	9.49349354663646	1.29037776362049	6.08320945706803
POLE	TSG	22394304	Nuclear	245	22	154	10.940281957412	0.982392665563529	6.8767486589447
PPARG	Oncogene	4954752	Nuclear	38	2	21	7.66940504792167	0.403652897259035	4.23835542121987
PPM1D	Oncogene	5933952	Nuclear	41	17	19	6.90939191958411	2.86486982031537	3.20191332858776
PPP2R1A	TSG	5777280	Nuclear	124	4	104	21.463387614933	0.692367342417193	18.001550902847
PPP4R2	n/a	4093056	Nuclear	37	11	19	9.03970040966945	2.687478500172	4.64200831847891
PPP6C	TSG	2996352	Nuclear	35	5	21	11.6808706053227	1.66869580076039	7.00852236319364
PRDM1	TSG	8088192	Nuclear	86	5	52	10.6327841871212	0.618185127158208	6.42912532244536
PRDM14	n/a	5601024	Nuclear	70	4	47	12.4977147035971	0.714155125919832	8.39132272955802
PREX2	n/a	15735744	Nuclear	221	23	151	14.0444582728341	1.46164045373387	9.59598732668757
PRKAR1A	n/a	3740544	Nuclear	38	9	23	10.1589501420114	2.40606713889744	6.14883824384902
PRKCI	Oncogene	5845824	Nuclear	60	15	39	10.2637369855815	2.56593424639538	6.67142904062798
PRKD1	n/a	8940096	Nuclear	121	13	80	13.5345302779746	1.45412308771628	8.94844977056175
PTCH1	TSG	14178816	Nuclear	158	24	94	11.1433846098292	1.69266601668292	6.62960856534142
PTEN	TSG	3955968	Nuclear	488	255	222	123.357924027697	64.4595709570957	56.1177441273539
PTP4A1	n/a	1703808	Nuclear	16	0	12	9.39072947186537	0	7.04304710389903
PTPN11	Oncogene	5816448	Nuclear	57	3	41	9.79979533901103	0.515778702053212	7.04897559472723
PTPRD	TSG	18732096	Nuclear	275	26	182	14.6806849591204	1.38799203249866	9.71594422749061
PTPRS	TSG	19084608	Nuclear	180	18	114	9.43168442338454	0.943168442338454	5.97340013481021
PTPRT	TSG	14306112	Nuclear	276	26	172	19.292453463247	1.81740503639284	12.0228333176757
RAB35	Oncogene	1977984	Nuclear	16	1	12	8.0890441985375	0.505565262408594	6.06678314890313
RAC1	Oncogene	2075904	Nuclear	16	1	14	7.70748550992724	0.481717844370453	6.74404982118634
RAC2	Oncogene	1889856	Nuclear	19	1	11	10.0536760472756	0.529140844593451	5.82054929052796
RAD21	TSG	6188544	Nuclear	59	6	43	9.53374493257219	0.969533382973443	6.94832257797634
RAD50	TSG	12856896	Nuclear	106	14	76	8.24460274081707	1.08890979595697	5.91122460662356
RAD51	TSG	3329280	Nuclear	17	1	12	5.1062091503268	0.30036524413687	3.60438292964245
RAD51B	TSG	3769920	Nuclear	36	6	21	9.54927425515661	1.59154570919277	5.57040998217469
RAD51C	TSG	3691584	Nuclear	23	3	18	6.23038782267991	0.812659281219119	4.87595568731471
RAD51D	TSG	2124864	Nuclear	17	0	14	8.0005120327701	0	6.58865696816361
RAD52	n/a	4102848	Nuclear	26	4	13	6.33706147534591	0.974932534668601	3.16853073767295
RAD54L	n/a	7324416	Nuclear	55	10	34	7.50913110342176	1.3652965642585	4.64200831847891
RAF1	Oncogene	6355008	Nuclear	60	4	41	9.44137285114354	0.629424856742903	6.45160478161475
RARA	n/a	4533696	Nuclear	35	3	23	7.71997063764311	0.661711768940838	5.07312356187976
RASA1	TSG	10262016	Nuclear	145	48	86	14.1297772289577	4.67744349648256	8.38041959786459
RB1	TSG	9096768	Nuclear	190	91	78	20.8865390433174	10.0035529102204	8.57447392304608
RBM10	TSG	8352576	Nuclear	91	12	49	10.8948425012834	1.43668252764177	5.86645365453723
RECQL	TSG	6364800	Nuclear	56	14	30	8.79839115133233	2.19959778783308	4.71342383107089
RECQL4	TSG	11838528	Nuclear	71	5	41	5.99736724025149	0.422349805651513	3.46326840634241
REL	Oncogene	6071040	Nuclear	44	6	28	7.24752266497997	0.988298545224542	4.61205987771453
RET	Oncogene	10918080	Nuclear	129	9	89	11.8152642222808	0.824320759694012	8.15161640141856
RFWD2	Oncogene	7167744	Nuclear	65	4	43	9.06840422872245	0.558055644844459	5.99909818207793
RHEB	Oncogene	1811520	Nuclear	16	1	10	8.83236177353824	0.55202261084614	5.5202261084614
RHOA	Oncogene	1899648	Nuclear	36	4	23	18.9508793208005	2.10565325786672	12.1075062327336
RICTOR	Oncogene	16734528	Nuclear	123	13	89	7.3500728553563	0.776836968452292	5.31834539940415
RIT1	Oncogene	2154240	Nuclear	22	5	13	10.2124183006536	2.32100415923945	6.03461081402258
RNF43	TSG	7676928	Nuclear	140	74	55	18.2364612511671	9.63927237561691	7.16432406295852
ROS1	Oncogene	22991616	Nuclear	306	53	208	13.309199318569	2.30518811726849	9.0467760073933
RPS6KA4	Oncogene	7569216	Nuclear	42	2	29	5.54879131471476	0.26422815784356	3.83130828873162
RPS6KB2	Oncogene	4729536	Nuclear	27	4	16	5.70880526123493	0.84574892759036	3.38299571036144
RPTOR	Oncogene	13082112	Nuclear	109	6	71	8.33198798481468	0.458641540448515	5.42725822864076
RRAGC	Oncogene	3916800	Nuclear	22	2	16	5.61683006535948	0.51062091503268	4.08496732026144
RRAS	Oncogene	2144448	Nuclear	19	0	14	8.8600889366401	0	6.52848658489271
RRAS2	Oncogene	2007360	Nuclear	17	2	12	8.46883468834688	0.996333492746692	5.97800095648015
RTEL1	TSG	12181248	Nuclear	77	15	38	6.32119139188366	1.23140092049682	3.11954899859193
RUNX1	TSG	4709952	Nuclear	79	31	37	16.7729947141712	6.58180805239629	7.85570638511815
RXRA	n/a	4533696	Nuclear	53	3	38	11.6902412512881	0.661711768940838	8.38168240658394
RYBP	TSG	3107328	Nuclear	23	0	19	7.40185780194431	0	6.11457818421486
SDHA	TSG	6511680	Nuclear	57	7	39	8.75350140056022	1.0749914000688	5.98923780038331
SDHAF2	TSG	1635264	Nuclear	15	1	12	9.17283080897029	0.611522053931353	7.33826464717624
SDHB	TSG	2751552	Nuclear	19	2	12	6.90519386876933	0.726862512502035	4.36117507501221
SDHC	TSG	1664640	Nuclear	8	1	2	4.80584390618993	0.600730488273741	1.20146097654748
SDHD	TSG	1566720	Nuclear	11	0	11	7.02103758169935	0	7.02103758169935
SESN1	TSG	5405184	Nuclear	24	4	15	4.44018186984939	0.740030311641565	2.77511366865587
SESN2	TSG	4709952	Nuclear	45	6	32	9.55423749541396	1.27389833272186	6.79412444118327
SESN3	TSG	4827456	Nuclear	35	5	27	7.25019554813136	1.03574222116162	5.59300799427276
SETD2	TSG	25116480	Nuclear	273	87	155	10.8693574895845	3.46386117799947	6.17124692632089
SF3B1	Oncogene	12778560	Nuclear	109	5	90	8.52991260361105	0.391280394661057	7.04304710389903
SH2B3	TSG	5640192	Nuclear	30	5	21	5.31896786492375	0.886494644153958	3.72327750544662
SH2D1A	TSG	1263168	Nuclear	22	4	12	17.416527334448	3.166641333536	9.49992400060799
SHOC2	Oncogene	5708736	Nuclear	56	15	37	9.80952701263467	2.62755187838429	6.48129463334791
SHQ1	TSG	5659776	Nuclear	43	4	30	7.59747382228555	0.706741750910283	5.30056313182712
SLX4	TSG	17968320	Nuclear	169	17	110	9.40544246763192	0.946109597335755	6.12188562981959
SMAD2	TSG	4582656	Nuclear	67	26	37	14.6203424389699	5.67356572258533	8.07392045137143
SMAD3	TSG	4171392	Nuclear	64	11	46	15.3426002638927	2.63700942035656	11.0274939396729
SMAD4	TSG	5414976	Nuclear	142	27	102	26.223569596615	4.98617168386342	18.836648583484
SMARCA4	TSG	16137216	Nuclear	173	16	120	10.7205604733803	0.991496922393553	7.43622691795165
SMARCB1	TSG	3779712	Nuclear	44	8	28	11.6410985810559	2.1165633783738	7.40797182430831
SMARCD1	n/a	5052672	Nuclear	30	2	24	5.93745250038	0.395830166692	4.749962000304
SMO	Oncogene	7716096	Nuclear	72	11	40	9.33114362496268	1.42559138714708	5.18396868053482
SMYD3	Oncogene	4200768	Nuclear	44	11	24	10.4742751801575	2.61856879503938	5.71324100735865
SOCS1	TSG	2075904	Nuclear	21	3	13	10.1160747317795	1.44515353311136	6.26233197681588
SOS1	Oncogene	13062528	Nuclear	114	23	75	8.7272540200488	1.76076177597476	5.74161448687421
SOX17	TSG	4063680	Nuclear	33	5	22	8.12071816678479	1.23041184345224	5.41381211118986
SOX2	Oncogene	3113856	Nuclear	32	1	22	10.2766473465697	0.321145229580302	7.06519505076664
SOX9	n/a	4993920	Nuclear	107	57	41	21.4260540817634	11.4138792772011	8.20998333974113
SPEN	TSG	35887680	Nuclear	248	43	157	6.91044949130175	1.19818277470151	4.37476036344506
SPOP	TSG	3672000	Nuclear	66	5	55	17.9738562091503	1.36165577342048	14.9782135076253
SPRED1	TSG	4357440	Nuclear	44	9	32	10.0976720276125	2.06543291473893	7.3437614746273
SRC	Oncogene	5258304	Nuclear	31	3	16	5.8954370078261	0.570526162047687	3.04280619758766
SRSF2	n/a	2173824	Nuclear	21	1	16	9.66039568980745	0.460018842371784	7.36030147794854
STAG2	TSG	12426048	Nuclear	153	44	80	12.3128447596533	3.54094881976957	6.4380887632174
STAT3	Oncogene	7549632	Nuclear	65	9	42	8.60969117435128	1.19211108567941	5.5631850665039
STAT5A	Oncogene	7784640	Nuclear	57	5	39	7.32211123443088	0.642290459160603	5.00986558145271
STAT5B	Oncogene	7716096	Nuclear	56	13	31	7.25755615274875	1.68478982117382	4.01757572741448
STK11	TSG	4249728	Nuclear	41	12	18	9.647676274811	2.82371012921298	4.23556519381946
STK19	n/a	3574080	Nuclear	25	0	17	6.99480705524219	0	4.75646879756469
STK40	n/a	4269312	Nuclear	36	2	27	8.43227199136535	0.468459555075853	6.32420399352401
SUFU	TSG	4749120	Nuclear	34	1	24	7.15922107674685	0.210565325786672	5.05356781888013
SUZ12	n/a	7246080	Nuclear	53	3	40	7.31429959371136	0.414016958134605	5.5202261084614
SYK	Oncogene	6227712	Nuclear	69	7	42	11.0795104205204	1.12400830353106	6.74404982118634
TAP1	n/a	7921728	Nuclear	56	14	31	7.06916470749816	1.76729117687454	3.91328760593648
TAP2	n/a	6403968	Nuclear	67	22	33	10.462263396694	3.43537007055626	5.15305510583438
TBX3	TSG	7285248	Nuclear	97	28	58	13.314577623164	3.84338323142877	7.96129383653103
TCEB1	n/a	1106496	Nuclear	10	2	8	9.03753831916247	1.80750766383249	7.23003065532998
TCF3	TSG	6384384	Nuclear	37	7	18	5.79539075343839	1.09642527767753	2.81937928545651
TCF7L2	TSG	5904576	Nuclear	115	35	59	19.4764196446959	5.92760597882049	9.99225007858312
TEK	n/a	11016000	Nuclear	121	22	79	10.9840232389252	1.99709513435004	7.17138707334786
TERT	Oncogene	11094336	Nuclear	64	4	29	5.7687093666534	0.360544335415837	2.61394643176482
TET1	TSG	20925504	Nuclear	212	24	144	10.1311777245604	1.14692578013892	6.88155468083349
TET2	TSG	19613376	Nuclear	137	21	77	6.98502899245902	1.07069787475649	3.92589220744047
TGFBR1	TSG	4935168	Nuclear	44	5	34	8.91560327834838	1.01313673617595	6.88932980599647
TGFBR2	TSG	5806656	Nuclear	67	14	39	11.5384827342966	2.41102624298736	6.71643024832193
TMEM127	TSG	2340288	Nuclear	16	0	9	6.83676538955889	0	3.84568053162688
TMPRSS2	n/a	5189760	Nuclear	45	8	30	8.67092119866815	1.54149710198545	5.78061413244543
TNFAIP3	TSG	7745472	Nuclear	79	10	46	10.1995075316262	1.2910769027375	5.93895375259248
TNFRSF14	TSG	2780928	Nuclear	19	1	13	6.83225168001473	0.359592193684986	4.67469851790482
TOP1	TSG	7500672	Nuclear	72	13	49	9.59913991706343	1.7331780405809	6.53274799911261
TP53	TSG	3858048	Nuclear	1477	462	998	382.836087057496	119.749676520354	258.680037158687
TP53BP1	TSG	19368576	Nuclear	130	34	80	6.71190282651652	1.75542073924278	4.13040173939478
TP63	n/a	6668352	Nuclear	113	15	65	16.9457161229641	2.2494313437563	9.74753582294396
TRAF2	n/a	4915584	Nuclear	41	7	25	8.34081972762545	1.42404239252142	5.08586568757649
TRAF7	n/a	6570432	Nuclear	45	2	29	6.84886473218199	0.304393988096977	4.41371282740617
TSC1	TSG	11407680	Nuclear	99	20	50	8.67836404948245	1.7532048584813	4.38301214620326
TSC2	TSG	17703936	Nuclear	146	32	82	8.24675371623576	1.80750766383249	4.63173838857077
TSHR	Oncogene	7490880	Nuclear	86	6	54	11.4806271092315	0.800973984364988	7.20876585928489
U2AF1	Oncogene	2359872	Nuclear	26	0	20	11.0175467143981	0	8.47503593415236
UPF1	n/a	10957248	Nuclear	99	9	66	9.03511538663723	0.82137412605793	6.02341025775815
VEGFA	Oncogene	2281536	Nuclear	23	7	13	10.0809279362675	3.06810850234228	5.69791579006424
VHL	TSG	2095488	Nuclear	75	40	31	35.7911856331318	19.0886323376703	14.7936900616945
VTCN1	n/a	2771136	Nuclear	25	1	17	9.02157093697314	0.360862837478926	6.13466823714174
WHSC1	Oncogene	13375872	Nuclear	104	13	68	7.77519402099542	0.971899252624427	5.08378070603546
WHSC1L1	n/a	14080896	Nuclear	118	24	71	8.38014853600225	1.70443699037334	5.0422927631878
WT1	n/a	5072256	Nuclear	47	6	30	9.26609382491735	1.1829055946703	5.9145279733515
WWTR1	Oncogene	3926592	Nuclear	33	9	15	8.40423451175982	2.29206395775268	3.82010659625446
XIAP	Oncogene	4876416	Nuclear	49	4	39	10.0483633881933	0.820274562301494	7.99767698243956
XPO1	Oncogene	10497024	Nuclear	80	3	58	7.62120768705492	0.28579528826456	5.52537557311482
XRCC2	TSG	2751552	Nuclear	29	8	16	10.5395064312795	2.90745005000814	5.81490010001628
YAP1	Oncogene	4944960	Nuclear	36	4	21	7.28013977868375	0.80890441985375	4.24674820423219
YES1	Oncogene	5326848	Nuclear	50	9	30	9.3864138792772	1.6895544982699	5.63184832756632
ZFHX3	TSG	36269568	Nuclear	373	76	216	10.2841037422889	2.09542060164599	5.95540592046754
ZRSR2	n/a	4729536	Nuclear	24	4	16	5.07449356554216	0.84574892759036	3.38299571036144
